E[1] [eV],Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
10.037590,0.70685100,0.69179500,0.70561000,0.69796500,0.69648600,0.69924200,0.69662900
10.075190,0.68037000,0.68722500,0.70304000,0.68981900,0.69191800,0.69488100,0.69283700
10.112780,0.66612500,0.68682400,0.69498500,0.68776100,0.69369000,0.69312300,0.69277500
10.150380,0.66583500,0.68668100,0.68747000,0.69365900,0.69679000,0.69215700,0.69386100
10.187970,0.67769700,0.69029600,0.68582900,0.70077800,0.69407200,0.69074100,0.69490500
10.225560,0.69163000,0.69909800,0.68890100,0.70265500,0.69087900,0.69235200,0.69557100
10.263160,0.69759400,0.70952700,0.69483100,0.70192200,0.69541700,0.69901000,0.69745600
10.300750,0.69803100,0.71738500,0.70647800,0.70466500,0.70542100,0.70822000,0.70289500
10.338350,0.69549300,0.72063000,0.72182800,0.70944800,0.71572400,0.71627600,0.71299900
10.375940,0.69210500,0.72504500,0.73162900,0.71640700,0.72558000,0.72401000,0.72575400
10.413530,0.69748000,0.73285000,0.73324100,0.72696900,0.73487500,0.73219200,0.73521500
10.451130,0.72273800,0.73678600,0.73302200,0.73708100,0.74101900,0.73778700,0.73980400
10.488720,0.76306800,0.74038900,0.73859900,0.74650100,0.74342600,0.74205600,0.74243100
10.526310,0.79689100,0.75382700,0.74954700,0.75671100,0.74738000,0.74934700,0.74787600
10.563910,0.81440300,0.77319200,0.76041600,0.76689900,0.75671000,0.76085700,0.75780200
10.601500,0.81806800,0.78510600,0.76932500,0.77645400,0.77141200,0.77434200,0.77306800
10.639100,0.80984100,0.78628300,0.78141500,0.78433300,0.78691400,0.78659400,0.78989700
10.676690,0.79281000,0.78097100,0.79598200,0.78940700,0.79642900,0.79449000,0.79681600
10.714280,0.77632900,0.77225500,0.80241500,0.79010800,0.79674200,0.79511700,0.79327700
10.751880,0.77496400,0.76777500,0.79803700,0.78931400,0.79221200,0.79008200,0.78984000
10.789470,0.78936100,0.77717400,0.79305800,0.78951600,0.79030200,0.78753400,0.78947500
10.827070,0.80869800,0.79846300,0.79780300,0.79452700,0.79428300,0.79554200,0.79442700
10.864660,0.82651500,0.82141500,0.81018900,0.80998700,0.80719000,0.81282100,0.80990600
10.902250,0.84302300,0.84275500,0.82753000,0.83453200,0.83043300,0.83390000,0.83277800
10.939850,0.86029000,0.86684900,0.85169400,0.86158700,0.86014600,0.85959400,0.85907100
10.977440,0.88827700,0.88885300,0.88186000,0.88709900,0.88944300,0.88670500,0.88827800
11.015040,0.91882900,0.90770400,0.91089800,0.91144200,0.91454700,0.90925400,0.91402400
11.052630,0.93373700,0.92688000,0.92878700,0.92905900,0.93012700,0.92554900,0.92914200
11.090220,0.92092000,0.93267200,0.92709900,0.93117400,0.92842800,0.92913800,0.92807900
11.127820,0.87772700,0.91481300,0.91025700,0.91606400,0.90944400,0.91477100,0.91005300
11.165410,0.83426700,0.88611300,0.88883700,0.89043600,0.88337800,0.88810800,0.88348300
11.203010,0.81517200,0.86386700,0.86594300,0.86043600,0.85896300,0.86162700,0.86071000
11.240600,0.81886500,0.84970100,0.84265800,0.83429200,0.84071900,0.84067900,0.84272500
11.278190,0.83694800,0.83429500,0.82332800,0.81864400,0.82704000,0.82373600,0.82536500
11.315790,0.84990900,0.81441800,0.81082400,0.80954500,0.81371400,0.80960900,0.81102200
11.353380,0.83588100,0.79421800,0.80243600,0.79971500,0.80007100,0.79890700,0.80106400
