E[1] [eV],Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
12.330830,0.64021100,0.71344600,0.68956000,0.69215500,0.69767000,0.69128200,0.69670700
12.368420,0.63838500,0.70563100,0.66615400,0.68671500,0.68829900,0.68340200,0.69008500
12.406010,0.64683900,0.69591500,0.65349900,0.68847800,0.68010200,0.67907400,0.68281200
12.443610,0.66448800,0.68653700,0.65273200,0.68932500,0.67433400,0.67468200,0.67799200
12.481200,0.67700100,0.67859100,0.65844000,0.68309800,0.67192100,0.67044600,0.67558100
12.518800,0.67236700,0.67233100,0.66862300,0.67026500,0.67248600,0.66712900,0.67216300
12.556390,0.65143000,0.66733600,0.67794800,0.65790600,0.66988400,0.66540400,0.66510900
12.593980,0.63058700,0.66107000,0.68129300,0.65063500,0.66249500,0.66351700,0.65695500
12.631580,0.62526200,0.65023200,0.67999600,0.64601100,0.65599300,0.65900000,0.65264300
12.669170,0.63616900,0.63770400,0.67789700,0.64466200,0.65336800,0.65456800,0.65222400
12.706770,0.66007100,0.62975200,0.67620700,0.64933700,0.65379700,0.65436400,0.65295800
12.744360,0.69071300,0.62753300,0.66969700,0.65794600,0.65365200,0.65616700,0.65428400
12.781950,0.71368800,0.62754700,0.65706100,0.66351500,0.65072800,0.65595400,0.65543100
12.819550,0.72190400,0.63074700,0.64349300,0.66057300,0.64706900,0.65116500,0.65412200
12.857140,0.72024600,0.63992400,0.63019700,0.65179900,0.64539400,0.64298800,0.64901000
12.894740,0.70532000,0.64942500,0.61785400,0.64084200,0.64326000,0.63505600,0.64123400
12.932330,0.67250900,0.65224000,0.61319500,0.62891600,0.63738200,0.62979600,0.63319200
12.969920,0.63825100,0.64755900,0.61713100,0.61929000,0.62971900,0.62612600,0.62560000
13.007520,0.61848400,0.63498200,0.62033100,0.61339400,0.62070800,0.62180400,0.61766400
13.045110,0.61332000,0.61541300,0.61722400,0.60997300,0.61052500,0.61651200,0.61125900
13.082710,0.61396400,0.59886600,0.60978300,0.60829400,0.60501900,0.61253900,0.60870200
13.120300,0.61558900,0.59709300,0.60299100,0.60915200,0.60771500,0.61262100,0.61070900
13.157890,0.62215300,0.60741700,0.60263600,0.61490600,0.61503500,0.61556100,0.61425700
13.195490,0.63101500,0.62096400,0.61231100,0.62346800,0.61992500,0.61804900,0.61606600
13.233080,0.63303800,0.63120600,0.62632400,0.62829500,0.61974400,0.61773500,0.61767100
13.270670,0.62638600,0.63267200,0.63551600,0.62644200,0.61678900,0.61604300,0.62006500
13.308270,0.61606300,0.62522500,0.63687400,0.62044500,0.61536600,0.61489400,0.62111800
13.345860,0.61207600,0.61231400,0.63057600,0.61571000,0.61600200,0.61319600,0.61907800
13.383460,0.61166400,0.59936200,0.61894300,0.61263100,0.61472100,0.61041300,0.61446300
13.421050,0.60738600,0.59421400,0.60581100,0.60889600,0.61003200,0.60873700,0.60901500
13.458640,0.59781500,0.59775000,0.59422300,0.60219700,0.60390900,0.60647200,0.60165700
13.496240,0.58649400,0.60195100,0.58847700,0.59473500,0.59900800,0.60161400,0.59368700
13.533830,0.57903000,0.60184900,0.58730100,0.58944300,0.59647800,0.59608400,0.58989300
13.571430,0.57718000,0.60061800,0.58633700,0.58682100,0.59556400,0.59228500,0.59029000
13.609020,0.57390200,0.59923600,0.58600200,0.58606100,0.59409200,0.59102600,0.59224400
13.646620,0.56419400,0.59636500,0.58690100,0.58513800,0.59072000,0.58993300,0.59409700
13.684210,0.55737200,0.59256000,0.58811600,0.58591200,0.58612900,0.58837300,0.59395900
13.721800,0.56041400,0.58864900,0.59094900,0.58884400,0.58270800,0.58798600,0.59119800
13.759400,0.56667300,0.58962100,0.59558700,0.59190600,0.58354200,0.59011500,0.58886800
13.796990,0.57169600,0.59542200,0.60007200,0.59546600,0.58934100,0.59400500,0.59109900
13.834590,0.57743800,0.60189000,0.60300900,0.60159200,0.59756200,0.59834000,0.59629000
13.872180,0.58578100,0.60828900,0.60420500,0.60873200,0.60565700,0.60250300,0.60096300
13.909770,0.59545300,0.61266500,0.60518400,0.61248100,0.61157700,0.60595600,0.60524300
13.947370,0.60300000,0.61401300,0.60727900,0.61219700,0.61283000,0.60867100,0.60999900
13.984960,0.60769800,0.61235300,0.60955700,0.61081500,0.61074700,0.60893200,0.61225500
14.022560,0.60870300,0.60912800,0.61185600,0.60998800,0.60914600,0.60688500,0.61045300
14.060150,0.60865900,0.60722000,0.61249700,0.60955700,0.60817700,0.60537700,0.60745800
14.097740,0.61011300,0.60533800,0.61098800,0.60780000,0.60686400,0.60588000,0.60492000
14.135340,0.61319800,0.59785900,0.60594600,0.60382700,0.60528000,0.60704600,0.60371100
14.172930,0.61974200,0.59044500,0.59692200,0.59942300,0.60249900,0.60733700,0.60373000
14.210530,0.62791100,0.58871200,0.59011900,0.59602300,0.59936000,0.60568700,0.60278100
14.248120,0.63324000,0.58973500,0.58943500,0.59532600,0.59815200,0.60262600,0.59998400
14.285710,0.62965600,0.59097800,0.59262800,0.59667300,0.59926400,0.59996100,0.59797800
14.323310,0.61866700,0.59395200,0.59924300,0.59981600,0.60176500,0.59873200,0.59942600
14.360900,0.60678800,0.60005500,0.60774100,0.60355200,0.60461000,0.59984700,0.60345400
14.398490,0.59576300,0.60730800,0.61346700,0.60484200,0.60544800,0.60143300,0.60665800
14.436090,0.58749300,0.60918500,0.61350500,0.60306200,0.60264300,0.60025600,0.60534400
14.473680,0.58178600,0.60226500,0.60634000,0.60003700,0.59653900,0.59597500,0.59859500
14.511280,0.57659900,0.59190300,0.59371400,0.59487600,0.58921800,0.59000100,0.58967900
14.548870,0.57267000,0.58334700,0.58023600,0.58594700,0.58279800,0.58494100,0.58240100
14.586460,0.57127200,0.57649400,0.57105000,0.57647700,0.57825700,0.58163900,0.57777700
14.624060,0.57174200,0.57029100,0.56882500,0.57137600,0.57579500,0.57856700,0.57560000
14.661650,0.57294400,0.56570300,0.57053900,0.57162500,0.57518800,0.57586400,0.57490200
14.699250,0.57727800,0.56576700,0.57323600,0.57679800,0.57682300,0.57593800,0.57574400
14.736840,0.58657700,0.57163900,0.57696300,0.58474400,0.58024800,0.57920100,0.57870100
14.774440,0.59568300,0.58126600,0.58075900,0.58915600,0.58325500,0.58239500,0.58107300
14.812030,0.60028300,0.59093400,0.58250000,0.58654600,0.58311400,0.58331400,0.58101700
14.849620,0.59925200,0.59515000,0.58111400,0.58007100,0.57983500,0.58157600,0.57940900
14.887220,0.59213200,0.59130900,0.57918000,0.57376500,0.57653800,0.57626800,0.57751000
14.924810,0.58459500,0.58323300,0.57944400,0.57028500,0.57429300,0.57015300,0.57570000
14.962400,0.58413500,0.57783600,0.58056300,0.57052000,0.57231100,0.56812900,0.57459100
15.000000,0.59053000,0.57909000,0.58283500,0.57216400,0.57220700,0.57051900,0.57479400
15.037590,0.59751500,0.58354300,0.58554400,0.57385300,0.57416500,0.57455000,0.57621400
15.075190,0.60036900,0.58735800,0.58425300,0.57577400,0.57609600,0.57877700,0.57777000
15.112780,0.59818400,0.58872800,0.57720400,0.57704500,0.57613500,0.58080600,0.57708100
15.150370,0.59033200,0.58559100,0.56792200,0.57560200,0.57340500,0.57844500,0.57351400
15.187970,0.57709100,0.57843700,0.55965700,0.57108700,0.57029300,0.57305700,0.56867000
15.225560,0.56270300,0.57052700,0.55370300,0.56605300,0.56906500,0.56795800,0.56516900
15.263160,0.55146500,0.56506600,0.55212500,0.56360300,0.56958100,0.56561700,0.56425200
15.300750,0.54610000,0.56222700,0.55695700,0.56483900,0.57064700,0.56617200,0.56558200
15.338350,0.54820200,0.55898400,0.56581200,0.56865700,0.57083100,0.56732100,0.56867100
15.375940,0.55388800,0.55669600,0.57371100,0.57256600,0.56976500,0.56871900,0.57228600
15.413530,0.55850000,0.55762900,0.57880500,0.57478300,0.56864200,0.57123600,0.57478600
15.451130,0.56245700,0.56100000,0.58109600,0.57688300,0.56979300,0.57365900,0.57604300
15.488720,0.56496900,0.56577100,0.58230400,0.57937400,0.57442600,0.57566000,0.57730900
15.526320,0.56703400,0.57131800,0.58321100,0.58183800,0.58029000,0.57907200,0.57993800
15.563910,0.57366200,0.57684300,0.58403300,0.58582600,0.58484000,0.58395100,0.58388900
15.601500,0.58203700,0.58142600,0.58594300,0.59094300,0.58877500,0.58925500,0.58816800
15.639100,0.58473300,0.58457400,0.58957600,0.59451800,0.59318800,0.59397500,0.59198700
15.676690,0.58155000,0.58697800,0.59425100,0.59518600,0.59704300,0.59721700,0.59451700
15.714280,0.57780200,0.59061500,0.59920900,0.59383100,0.59890500,0.59902800,0.59614400
15.751880,0.57817900,0.59744600,0.60352300,0.59264400,0.59949800,0.60001200,0.59820000
15.789470,0.58580900,0.60659100,0.60655000,0.59475500,0.60140400,0.60090400,0.60124200
15.827070,0.59881500,0.61532700,0.60788900,0.60100400,0.60492400,0.60260200,0.60476800
